Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,audit_deal_close_date_parsed,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean,is_off_market_release,CAR_ANN_INTRADAY_15M,CAR_ANN_INTRADAY_30M,CAR_ANN_INTRADAY_M60_P180,CAR_ANN_INTRADAY_1H,CAR_ANN_INTRADAY_3H,CAR_ANN_INTRADAY_FULL,CAR_ANN_INTRADAY_TO_CLOSE,CAR_ANN_NEXT_OPEN_1H,CAR_ANN_NEXT_DAY,CAR_INTRADAY_PRE_4_0,CAR_INTRADAY_PRE_4_0_prevday,ratio_1h_vs_day,CAR_CLOSE_INTRADAY_15M,CAR_CLOSE_INTRADAY_30M,CAR_CLOSE_INTRADAY_M60_P180,CAR_CLOSE_INTRADAY_1H,CAR_CLOSE_INTRADAY_3H,CAR_CLOSE_INTRADAY_FULL,CAR_CLOSE_INTRADAY_TO_CLOSE,CAR_CLOSE_NEXT_OPEN_1H,CAR_CLOSE_NEXT_DAY,CAR_ANN_1_1,CAR_ANN_3_3,CAR_ANN_5_5,CAR_ANN_10_10,BHAR_ANN_60,BHAR_ANN_120,BHAR_ANN_250,ANN_MODEL_TYPE,ANN_ESTIMATION_OBS,ANN_ROE,ANN_ROA,ANN_P_B,ANN_P_E,ANN_TOTAL_ASSETS,ANN_MARKET_CAP,ANN_LIQUIDITY_60D,ANN_VOLATILITY_60D,Volume_bln_avg_pre,CAR_CLOSE_1_1,CAR_CLOSE_3_3,CAR_CLOSE_5_5,CAR_CLOSE_10_10,BHAR_CLOSE_60,BHAR_CLOSE_120,BHAR_CLOSE_250,CLOSE_MODEL_TYPE,CLOSE_ESTIMATION_OBS,CLOSE_PANEL_ROLE,CLOSE_EVENT_TRADE_DATE,CLOSE_ROE,CLOSE_ROA,CLOSE_P_B,CLOSE_P_E,CLOSE_TOTAL_ASSETS,CLOSE_MARKET_CAP,CLOSE_LIQUIDITY_60D,CLOSE_VOLATILITY_60D,DAYS_CREATE_TO_ANNOUNCEMENT,DIFF_CAR_ANN_MINUS_CREATE_1_1,RUNUP_PRE_30_5,CAR_PRE_ANNOUNCEMENT,CAR_ACT_1_1,CAR_ACT_3_3,CAR_ACT_5_5,CAR_ACT_10_10,BHAR_ACT_60,BHAR_ACT_120,BHAR_ACT_250,ACT_MODEL_TYPE,ACT_ESTIMATION_OBS,ACT_ROE,ACT_ROA,ACT_P_B,ACT_P_E,ACT_TOTAL_ASSETS,ACT_MARKET_CAP,ACT_LIQUIDITY_60D,ACT_VOLATILITY_60D,CAR_CREATE_1_1,CAR_CREATE_3_3,CAR_CREATE_5_5,CAR_CREATE_10_10,BHAR_CREATE_60,BHAR_CREATE_120,BHAR_CREATE_250,CREATE_MODEL_TYPE,CREATE_ESTIMATION_OBS,CREATE_ROE,CREATE_ROA,CREATE_P_B,CREATE_P_E,CREATE_TOTAL_ASSETS,CREATE_MARKET_CAP,CREATE_LIQUIDITY_60D,CREATE_VOLATILITY_60D,deal_type
Сбер (Сбербанк),SBER,Группа компаний Элемент,19.09.2025,10:11,22.01.2026,19:17,Завершена,"310,00","41,90%",Покупка,Рыночная,Вертикальная,Внутренняя,1.2026,9.2025,,19.01.2026,19.09.2025,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,0.0,1.0,1.0,0.0,https://www.sberbank.ru/ru/sberpress/vazhnoe/article?newsID=f171a37b-2d5e-4cd1-ad0d-0f60a4e4ac24&blockID=8a5ea25e-318c-4d17-a60d-e806c4b0bc07&regionID=77&lang=ru&type=NEWS ,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2025-09-19,10:11,2026-01-19,2025-09-19,0.0,2025-09-19,2025-09-19T10:00:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:42.878818+03:00,2026-01-22,2,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Группа компаний Элемент,группа компаний элемент,2025-09-19,2026-01-22,2026-01-19,2025-09-19,10:11,19:17,310.0,41.9,Завершена,Покупка,Рыночная,Вертикальная,0,-3.6203358798160296e-05,0.0022088108998803,0.0027260766026855,-0.0015939641420325,-0.0016701971809563,0.0040937868338194,-0.019220885749537,0.0003603586603978,0.0174277851321986,,,11.954134884105558,,,,,,,,,,-0.0017109471434107,-0.009906493074176,-0.0157211891910478,-0.0191463628305016,,,,market_model,221.0,24.0,2.8,0.8869441304347825,4.02237380627558,60855.0,6364.711079999999,7.225562265359415,0.1583600059450927,4.582262615256875,-0.0039561307969065,0.0013356518519217,-0.0039416329208654,0.003290737902237,,,,market_model,221.0,actualization_daily,2026-01-22,24.0,2.8,0.9211776950947604,4.177626193724421,60855.0,6610.37114,6.217619353603834,0.1085202605670657,0,0.0,-0.0261015901858683,-0.0175690994735543,-0.0039561307969065,0.0013356518519217,-0.0039416329208654,0.003290737902237,,,,market_model,221.0,24.0,2.8,0.9211776950947604,4.177626193724421,60855.0,6610.37114,6.217619353603834,0.1085202605670657,-0.0017109471434107,-0.009906493074176,-0.0157211891910478,-0.0191463628305016,,,,market_model,221.0,24.0,2.8,0.8869441304347825,4.02237380627558,60855.0,6364.711079999999,7.225562265359415,0.1583600059450927,Рыночная
Альфа-банк,ACBR,Лизинговая компания Европлан,18.11.2025,09:45,25.12.2025,16:02,Завершена,"645,00","87,50%",Поглощение,Рыночная,Вертикальная,Внутренняя,12.2025,,11.2025,25.12.2025,18.11.2025,Транспорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,3,1.0,0.0,0.0,1.0,https://alfabank.ru/news/t/release/alfa-bank-zakril-sdelku-po-pokupke-krupneishego-nezavisimogo-avtolizingovogo-operatora-yevroplan/ ,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2025-11-18,09:45,2025-12-25,2025-11-18,,,,,3.12.9,2026-03-29T18:04:42.881790+03:00,2025-12-25,3,Альфа-банк,альфа банк,ACBR,ACBR,Лизинговая компания Европлан,лизинговая компания европлан,2025-11-18,2025-12-25,2025-12-25,2025-11-18,09:45,16:02,645.0,87.5,Завершена,Поглощение,Рыночная,Вертикальная,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Рыночная
ПАО Совкомбанк,SVCB,Группа Астра,18.11.2025,,13.11.2025,,Завершена,"43,00","5,82%",Участие,Рыночная,Круговая,Внутренняя,11.2025,,,18.11.2025,18.11.2025,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,!,0.0,1.0,1.0,0.0,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-11-18,,2025-11-18,2025-11-18,0.0,2025-11-18,2025-11-18T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.882496+03:00,2025-11-13,4,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Группа Астра,группа астра,2025-11-18,2025-11-13,2025-11-18,2025-11-18,,,43.0,5.82,Завершена,Участие,Рыночная,Круговая,0,-0.0003895470464691,8.46254322241799e-06,0.0059565234289024,0.0055223907847561,0.0059565234289024,0.0166078440942687,0.0121859962541006,0.0011863143478784,0.004421847840168,,,45.31751585675938,,,,,,,,,,-0.0233922186573194,-0.0356852787991119,-0.0280812135826365,0.0172982794017794,,,,market_model,221.0,26.0,,0.7808456650511578,3.833333333333334,4046.0,290.00608,0.006836118342875,0.3173564698645041,0.00622691182175,0.0148530525530638,0.0559357905545121,0.0598610838249706,0.0189607181380161,,,,market_model,221.0,announcement_daily,2025-11-13,26.0,,0.7878175013462574,3.867559523809524,4046.0,292.59542,0.0067545713954375,0.3212575189383775,0,0.0,0.0906872901736578,0.0863140460066935,0.0148530525530638,0.0559357905545121,0.0598610838249706,0.0189607181380161,,,,market_model,221.0,26.0,,0.7878175013462574,3.867559523809524,4046.0,292.59542,0.0067545713954375,0.3212575189383775,-0.0233922186573194,-0.0356852787991119,-0.0280812135826365,0.0172982794017794,,,,market_model,221.0,26.0,,0.7808456650511578,3.833333333333334,4046.0,290.00608,0.006836118342875,0.3173564698645041,Рыночная
Т-банк (Тинькофф),T,Гостиница Турист (г. Москва),14.08.2025,,03.08.2025,16:07,Завершена,"37,50","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,8.2025,,,04.08.2025,14.08.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-08-14,,2025-08-04,2025-08-14,0.0,2025-08-14,2025-08-14T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.884837+03:00,2025-08-03,5,Т-банк (Тинькофф),т банк тинькофф,T,T,Гостиница Турист (г. Москва),гостиница турист г москва,2025-08-14,2025-08-03,2025-08-04,2025-08-14,,16:07,37.5,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная,0,8.07655248691112e-05,0.0004028983959181,0.0007923495490285,0.0015914077325427,0.0007923495490285,0.035716953667816,0.0180449512190616,-0.0011100619730524,0.0176720024487543,,,8.819130144622921,,,,,,,,,,-0.00735819172001,-0.0191595581520907,-0.0334415742640011,-0.0304188835725068,,,,market_model,221.0,32.5,6.2,1.725294402769763,7.339626783754116,5119.0,896.98056,5.317804624983334,0.1903097294004684,7.136831934967499,-0.0070723342588135,-0.0167004253411013,-0.0633307058568478,-0.0802653473342055,,,,market_model,221.0,announcement_daily,2025-08-04,32.5,6.2,1.658619349874976,7.055982436882546,5119.0,862.3162000000001,5.330305767880001,0.1998240740086173,0,0.0,-0.0642415032336645,-0.1029832888432262,-0.0070723342588135,-0.0167004253411013,-0.0633307058568478,-0.0802653473342055,,,,market_model,221.0,32.5,6.2,1.658619349874976,7.055982436882546,5119.0,862.3162000000001,5.330305767880001,0.1998240740086173,-0.00735819172001,-0.0191595581520907,-0.0334415742640011,-0.0304188835725068,,,,market_model,221.0,32.5,6.2,1.725294402769763,7.339626783754116,5119.0,896.98056,5.317804624983334,0.1903097294004684,Рыночная
ПАО Совкомбанк,SVCB,Пампаду,17.07.2025,16:07,,,Переговоры,"12,80—19,20","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,,7.2025,,13.08.2025,18.07.2025,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-07-17,16:07,2025-08-13,2025-07-18,0.0,2025-07-17,2025-07-17T16:00:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:42.889591+03:00,,6,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Пампаду,пампаду,2025-07-17,,2025-08-13,2025-07-18,16:07,,,100.0,Переговоры,Полное приобретение,Рыночная,Вертикальная,0,-0.0105743217180997,-0.0116199017103897,-0.0220554065920654,0.0006016675448734,-0.0098865914853298,-0.0397735319052391,-0.0161780179285638,0.0095365932555278,0.0058408809656347,,,-1.3190294624128514,,,,,,,,,,0.0268378546514224,0.0580559387873999,0.0335282911175353,0.0352577351730953,,,,market_model,221.0,26.0,,1.014553742595584,4.980654761904762,4046.0,376.80526,0.0050728578894791,0.3204985033153194,0.0048093805324374,,,,,,,,,,,,,,,,,,,,-1,0.0328832047626017,0.0198014373367231,0.0796932201738596,-0.0457318726205622,-0.087343009205151,-0.1228789772999994,-0.1266806643854775,,,,market_model,221.0,26.0,,0.9921226171243942,4.870535714285714,4046.0,368.47434,0.0053110670361875,0.2717593522024495,-0.0060453501111793,0.0309425792932238,0.0337759358369796,-0.00035138617429,,,,market_model,221.0,26.0,,1.045775444264944,5.133928571428571,4046.0,388.401,0.0052068335974166,0.3231303438843001,Рыночная
Т-банк (Тинькофф),T,Zabota 2.0,03.09.2025,,01.07.2025,15:33,Завершена,,"11,22%","Участие, Венчурный фонд Т-Инвестиций ",Рыночная,Круговая,Внутренняя,7.2025,,,01.07.2025,03.09.2025,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-09-03,,2025-07-01,2025-09-03,0.0,2025-09-03,2025-09-03T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.929139+03:00,2025-07-01,7,Т-банк (Тинькофф),т банк тинькофф,T,T,Zabota 2.0,zabota 2 0,2025-09-03,2025-07-01,2025-07-01,2025-09-03,,15:33,,11.22,Завершена,"Участие, Венчурный фонд Т-Инвестиций",Рыночная,Круговая,0,0.0001602860910919,-0.0019734211773089,0.0016264045714619,-0.0017133560441963,0.0016264045714619,0.0258190124810304,0.0121933209718018,0.0010634046440805,0.0136256915092286,,,-14.051594706304046,,,,,,,,,,-0.0057054995022328,-0.0086363312146734,-0.0310260091449697,-0.0547599204248638,,,,market_model,221.0,32.5,6.2,1.712289671090595,7.28430296377607,5119.0,890.2194000000001,5.436989602291666,0.1947329754230504,4.7021318197875,-0.0089595653886106,-0.015749123552902,-0.0282615204312408,0.0147902330150531,-0.0037018389249949,,,market_model,190.0,announcement_daily,2025-07-01,32.5,6.2,1.692060088478554,7.198243688254665,5119.0,879.70204,6.481061407434167,0.25482674948289,0,0.0,-0.0481421909835967,-0.047343674609171,-0.0084586518747635,-0.0147481681153957,-0.026524718807785,0.017298448736035,,,,market_model,221.0,32.5,6.2,1.692060088478554,7.198243688254665,5119.0,879.70204,6.481061407434167,0.25482674948289,-0.0057054995022328,-0.0086363312146734,-0.0310260091449697,-0.0547599204248638,,,,market_model,221.0,32.5,6.2,1.712289671090595,7.28430296377607,5119.0,890.2194000000001,5.436989602291666,0.1947329754230504,Рыночная
Т-банк (Тинькофф),T,Airo,30.05.2025,,30.05.2025,00:00,Завершена,,"12,50%","Участие, Венчурный фонд Т-Инвестиций ",Рыночная,Круговая,Внутренняя,5.2025,,,30.05.2025,30.05.2025,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-05-30,,2025-05-30,2025-05-30,0.0,2025-05-30,2025-05-30T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.932664+03:00,2025-05-30,8,Т-банк (Тинькофф),т банк тинькофф,T,T,Airo,airo,2025-05-30,2025-05-30,2025-05-30,2025-05-30,,00:00,,12.5,Завершена,"Участие, Венчурный фонд Т-Инвестиций",Рыночная,Круговая,0,0.0002551441983899,-0.000811879959324,0.0093559600992637,0.0049294974079315,0.0093559600992637,0.0425153757406711,0.0220003513188268,0.0004577445118499,0.0205150244218443,,,22.406448590269267,,,,,,,,,,-0.0149888262709152,-0.0047445808074179,0.0385897109556267,0.0500278194622016,,,,market_model,221.0,32.5,6.2,1.647162800538565,7.007244785949506,5119.0,856.35994,9.347778868654167,0.3589294143078113,7.173043692315,-0.0149888262709152,-0.0047445808074179,0.0385897109556267,0.0500278194622016,,,,market_model,221.0,announcement_daily,2025-05-30,32.5,6.2,1.647162800538565,7.007244785949506,5119.0,856.35994,9.347778868654167,0.3589294143078113,0,0.0,0.012121043267931,0.0306989462234671,-0.0149888262709152,-0.0047445808074179,0.0385897109556267,0.0500278194622016,,,,market_model,221.0,32.5,6.2,1.647162800538565,7.007244785949506,5119.0,856.35994,9.347778868654167,0.3589294143078113,-0.0149888262709152,-0.0047445808074179,0.0385897109556267,0.0500278194622016,,,,market_model,221.0,32.5,6.2,1.647162800538565,7.007244785949506,5119.0,856.35994,9.347778868654167,0.3589294143078113,Рыночная
ПАО Совкомбанк,SVCB,"Хоум Банк (Хоум Кредит энд Финанс Банк, ХКФБ)",16.02.2024,19:20,07.04.2025,14:22,Завершена,"523,30","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,4.2025,,2.2024,07.04.2025,19.02.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,!,0.0,1.0,1.0,1.0,https://sovcombank.ru/articles/novosti-kompanii/sovcombank-zavershil-prisoedinenie-home-banka?utm_referrer=https%3A%2F%2Fwww.google.com%2F,ready,,resolved=raw_ticker_exact; release_anchor=release_after_close_next_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2024-02-16,19:20,2025-04-07,2024-02-19,1.0,2024-02-19,2024-02-19T09:45:00+03:00,release_after_close_next_open,3.12.9,2026-03-29T18:04:42.936643+03:00,2025-04-07,9,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,"Хоум Банк (Хоум Кредит энд Финанс Банк, ХКФБ)",хоум банк хоум кредит энд финанс банк хкфб,2024-02-16,2025-04-07,2025-04-07,2024-02-19,19:20,14:22,523.3,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная,1,0.0001839454878497,-0.0238582193876921,-0.0181263169370548,-0.0243515563346167,-0.0181263169370548,0.0029194870267695,0.0250345494635493,-0.004875460705455,-0.0221150624367798,,,-97.27179780116649,,,,,,,,,,0.0726768689234884,0.0552315572502208,0.0735920524373889,0.2197523099509714,,,,market_adjusted,64.0,,,1.936525299947835,-25.47297297297298,2185.0,371.2319,0.0091008233514488,0.3937601745363399,0.0142346767006249,0.0323661552642167,0.0392506301965199,0.0392833361152245,0.0268445056902705,,,,market_model,221.0,actualization_daily,2025-04-07,26.0,,0.9411978998384491,4.620535714285714,4046.0,349.5609,0.0084773317238333,0.392195394807417,-3,0.0,0.1692284405701283,0.185475267845608,0.0323661552642167,0.0392506301965199,0.0392833361152245,0.0268445056902705,,,,market_model,221.0,26.0,,0.9411978998384491,4.620535714285714,4046.0,349.5609,0.0084773317238333,0.392195394807417,0.0726768689234884,0.0552315572502208,0.0735920524373889,0.2197523099509714,,,,market_adjusted,64.0,,,1.936525299947835,-25.47297297297298,2185.0,371.2319,0.0091008233514488,0.3937601745363399,Рыночная
Т-банк (Тинькофф),T,Бизнес-центр Центральный телеграф,24.05.2024,13:59,05.02.2025,15:26,Завершена,"355,00—426,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,2.2025,,,05.02.2025,18.03.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2024-05-24,13:59,2025-02-05,2025-03-18,0.0,2024-05-24,2024-05-24T13:45:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:42.939168+03:00,2025-02-05,10,Т-банк (Тинькофф),т банк тинькофф,T,T,Бизнес-центр Центральный телеграф,бизнес центр центральный телеграф,2024-05-24,2025-02-05,2025-02-05,2025-03-18,13:59,15:26,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная,0,-0.0007219133781243,-0.001512614493579,-0.0055161240997782,-0.0010389890360676,-0.0051630466868892,-0.0608785540885515,-0.0125781261436106,-0.0083806059138557,-0.0343728972473351,,,3.919876584427963,,,,,,,,,,-0.0221786794091031,-0.0104531381861183,-0.0412434562133058,-0.0090971217417432,,,,market_model,221.0,33.5,6.2,2.042561747094048,7.168268046316827,2270.0,579.88328,5.787458001114168,0.2444276666805938,3.30791617386,0.0058724508304818,0.0236056740392753,0.0130284323688866,-0.0059850925192925,,,,market_model,221.0,actualization_daily,2025-02-05,33.5,6.2,2.162043466009158,7.587583148558759,2270.0,613.80414,19.769073530040007,0.4358842284510209,-298,-0.0497528989642378,-0.0379988006070108,-0.0572019759987345,0.0058724508304818,0.0236056740392753,0.0130284323688866,-0.0059850925192925,,,,market_model,221.0,33.5,6.2,2.162043466009158,7.587583148558759,2270.0,613.80414,19.769073530040007,0.4358842284510209,0.0275742195551347,0.0387405355333873,0.0463303537616559,0.0448903134067721,,,,market_model,221.0,33.5,6.2,2.502517224374781,8.782458733678247,2270.0,710.4646400000001,15.328271471591666,0.3205407303106546,Рыночная
Альфа-банк,ACBR,Таврос,19.06.2025,16:05,,,Завершена,,"80,00%",Консолидация,Рыночная,Круговая,Внутренняя,1.2025,,10.2024,09.01.2025,09.06.2025,Пищевая промышленность,Россия (ПФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2025-06-19,16:05,2025-01-09,2025-06-09,,,,,3.12.9,2026-03-29T18:04:42.941584+03:00,,11,Альфа-банк,альфа банк,ACBR,ACBR,Таврос,таврос,2025-06-19,,2025-01-09,2025-06-09,16:05,,,80.0,Завершена,Консолидация,Рыночная,Круговая,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Рыночная
