Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts
Сбер (Сбербанк),SBER,Группа компаний Элемент,19.09.2025,10:11,22.01.2026,19:17,Завершена,"310,00","41,90%",Покупка,Рыночная,Вертикальная,Внутренняя,1.2026,9.2025,,19.01.2026,19.09.2025,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,0.0,1.0,1.0,0.0,https://www.sberbank.ru/ru/sberpress/vazhnoe/article?newsID=f171a37b-2d5e-4cd1-ad0d-0f60a4e4ac24&blockID=8a5ea25e-318c-4d17-a60d-e806c4b0bc07&regionID=77&lang=ru&type=NEWS ,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2025-09-19,10:11,2026-01-19,2025-09-19,0,2025-09-19,2025-09-19T10:00:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.029676+03:00
Альфа-банк,ACBR,Лизинговая компания Европлан,18.11.2025,09:45,25.12.2025,16:02,Завершена,"645,00","87,50%",Поглощение,Рыночная,Вертикальная,Внутренняя,12.2025,,11.2025,25.12.2025,18.11.2025,Транспорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,3,1.0,0.0,0.0,1.0,https://alfabank.ru/news/t/release/alfa-bank-zakril-sdelku-po-pokupke-krupneishego-nezavisimogo-avtolizingovogo-operatora-yevroplan/ ,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2025-11-18,09:45,2025-12-25,2025-11-18,,,,,3.12.9,2026-03-22T00:38:56.032795+03:00
ПАО Совкомбанк,SVCB,Группа Астра,18.11.2025,,13.11.2025,,Завершена,"43,00","5,82%",Участие,Рыночная,Круговая,Внутренняя,11.2025,,,18.11.2025,18.11.2025,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,!,0.0,1.0,1.0,0.0,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-11-18,,2025-11-18,2025-11-18,0,2025-11-18,2025-11-18T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.034274+03:00
Т-банк (Тинькофф),T,Гостиница Турист (г. Москва),14.08.2025,,03.08.2025,16:07,Завершена,"37,50","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,8.2025,,,04.08.2025,14.08.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-08-14,,2025-08-04,2025-08-14,0,2025-08-14,2025-08-14T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.036399+03:00
ПАО Совкомбанк,SVCB,Пампаду,17.07.2025,16:07,,,Переговоры,"12,80—19,20","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,,7.2025,,13.08.2025,18.07.2025,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-07-17,16:07,2025-08-13,2025-07-18,0,2025-07-17,2025-07-17T16:00:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.040951+03:00
Т-банк (Тинькофф),T,Zabota 2.0,03.09.2025,,01.07.2025,15:33,Завершена,,"11,22%","Участие, Венчурный фонд Т-Инвестиций ",Рыночная,Круговая,Внутренняя,7.2025,,,01.07.2025,03.09.2025,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-09-03,,2025-07-01,2025-09-03,0,2025-09-03,2025-09-03T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.044619+03:00
Т-банк (Тинькофф),T,Airo,30.05.2025,,30.05.2025,00:00,Завершена,,"12,50%","Участие, Венчурный фонд Т-Инвестиций ",Рыночная,Круговая,Внутренняя,5.2025,,,30.05.2025,30.05.2025,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-05-30,,2025-05-30,2025-05-30,0,2025-05-30,2025-05-30T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.047176+03:00
ПАО Совкомбанк,SVCB,"Хоум Банк (Хоум Кредит энд Финанс Банк, ХКФБ)",16.02.2024,19:20,07.04.2025,14:22,Завершена,"523,30","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,4.2025,,2.2024,07.04.2025,19.02.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,!,0.0,1.0,1.0,1.0,https://sovcombank.ru/articles/novosti-kompanii/sovcombank-zavershil-prisoedinenie-home-banka?utm_referrer=https%3A%2F%2Fwww.google.com%2F,ready,,resolved=raw_ticker_exact; release_anchor=release_after_close_next_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2024-02-16,19:20,2025-04-07,2024-02-19,1,2024-02-19,2024-02-19T09:45:00+03:00,release_after_close_next_open,3.12.9,2026-03-22T00:38:56.049634+03:00
Т-банк (Тинькофф),T,Бизнес-центр Центральный телеграф,24.05.2024,13:59,05.02.2025,15:26,Завершена,"355,00—426,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,2.2025,,,05.02.2025,18.03.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2024-05-24,13:59,2025-02-05,2025-03-18,0,2024-05-24,2024-05-24T13:45:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.051907+03:00
Альфа-банк,ACBR,Таврос,19.06.2025,16:05,,,Завершена,,"80,00%",Консолидация,Рыночная,Круговая,Внутренняя,1.2025,,10.2024,09.01.2025,09.06.2025,Пищевая промышленность,Россия (ПФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2025-06-19,16:05,2025-01-09,2025-06-09,,,,,3.12.9,2026-03-22T00:38:56.054960+03:00
