Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean,CAR_ANN_INTRADAY_15M,CAR_ANN_INTRADAY_30M,CAR_ANN_INTRADAY_1H,CAR_ANN_INTRADAY_3H,CAR_ANN_INTRADAY_FULL,CAR_ANN_INTRADAY_TO_CLOSE,CAR_ANN_NEXT_OPEN_1H,CAR_ANN_NEXT_DAY,CAR_CLOSE_INTRADAY_15M,CAR_CLOSE_INTRADAY_30M,CAR_CLOSE_INTRADAY_1H,CAR_CLOSE_INTRADAY_3H,CAR_CLOSE_INTRADAY_FULL,CAR_CLOSE_INTRADAY_TO_CLOSE,CAR_CLOSE_NEXT_OPEN_1H,CAR_CLOSE_NEXT_DAY,CAR_ANN_1_1,CAR_ANN_3_3,CAR_ANN_5_5,CAR_ANN_10_10,BHAR_ANN_60,BHAR_ANN_120,BHAR_ANN_250,ANN_MODEL_TYPE,ANN_ESTIMATION_OBS,ANN_ROE,ANN_ROA,ANN_P_B,ANN_P_E,ANN_TOTAL_ASSETS,ANN_MARKET_CAP,ANN_LIQUIDITY_60D,ANN_VOLATILITY_60D,CAR_CLOSE_1_1,CAR_CLOSE_3_3,CAR_CLOSE_5_5,CAR_CLOSE_10_10,BHAR_CLOSE_60,BHAR_CLOSE_120,BHAR_CLOSE_250,CLOSE_MODEL_TYPE,CLOSE_ESTIMATION_OBS,CLOSE_PANEL_ROLE,CLOSE_EVENT_TRADE_DATE,CLOSE_ROE,CLOSE_ROA,CLOSE_P_B,CLOSE_P_E,CLOSE_TOTAL_ASSETS,CLOSE_MARKET_CAP,CLOSE_LIQUIDITY_60D,CLOSE_VOLATILITY_60D,DAYS_CREATE_TO_ANNOUNCEMENT,DIFF_CAR_ANN_MINUS_CREATE_1_1,RUNUP_PRE_30_5,CAR_PRE_ANNOUNCEMENT,CAR_ACT_1_1,CAR_ACT_3_3,CAR_ACT_5_5,CAR_ACT_10_10,BHAR_ACT_60,BHAR_ACT_120,BHAR_ACT_250,ACT_MODEL_TYPE,ACT_ESTIMATION_OBS,ACT_ROE,ACT_ROA,ACT_P_B,ACT_P_E,ACT_TOTAL_ASSETS,ACT_MARKET_CAP,ACT_LIQUIDITY_60D,ACT_VOLATILITY_60D,CAR_CREATE_1_1,CAR_CREATE_3_3,CAR_CREATE_5_5,CAR_CREATE_10_10,BHAR_CREATE_60,BHAR_CREATE_120,BHAR_CREATE_250,CREATE_MODEL_TYPE,CREATE_ESTIMATION_OBS,CREATE_ROE,CREATE_ROA,CREATE_P_B,CREATE_P_E,CREATE_TOTAL_ASSETS,CREATE_MARKET_CAP,CREATE_LIQUIDITY_60D,CREATE_VOLATILITY_60D
Сбер (Сбербанк),SBER,Группа компаний Элемент,19.09.2025,10:11,22.01.2026,19:17,Завершена,"310,00","41,90%",Покупка,Рыночная,Вертикальная,Внутренняя,1.2026,9.2025,,19.01.2026,19.09.2025,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,0.0,1.0,1.0,0.0,https://www.sberbank.ru/ru/sberpress/vazhnoe/article?newsID=f171a37b-2d5e-4cd1-ad0d-0f60a4e4ac24&blockID=8a5ea25e-318c-4d17-a60d-e806c4b0bc07&regionID=77&lang=ru&type=NEWS ,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2025-09-19,10:11,2026-01-19,2025-09-19,0.0,2025-09-19,2025-09-19T10:00:00+03:00,release_in_market,3.12.9,2026-03-29T15:46:17.587065+03:00,2,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Группа компаний Элемент,группа компаний элемент,2025-09-19,2026-01-22,2026-01-19,2025-09-19,10:11,19:17,310.0,41.9,Завершена,Покупка,Рыночная,Вертикальная,-3.6203358798160296e-05,0.0022088108998803624,-0.0015939641420325916,-0.0016701971809563426,0.007998169951268586,-0.019220885749537026,0.0003603586603978719,0.017427785132198666,,,,,,,,,-0.0017223602061846649,-0.01006304623168229,-0.016016796754755095,-0.019577195230091497,0.05997269664239857,0.018664289101999243,,market_model,220.0,24.0,2.8,0.8869441304347825,4.02237380627558,60855.0,6364.711079999999,7.225562265359415,0.15836000594509275,-0.003956130796906586,0.00133565185192176,-0.003941632920865403,0.003290737902237097,0.010615523136723315,,,market_model,221.0,announcement_daily,2026-01-22,24.0,2.8,0.9211776950947603,4.177626193724421,60855.0,6610.37114,6.217619353603834,0.10852026056706572,0,0.0,-0.027002543209956258,-0.018536324064622578,0.007760961648541723,0.005069132404281502,0.0033786652001701156,0.01020430729459158,0.007392710492127863,,,market_model,220.0,24.0,2.8,0.9133563182831662,4.142155525238745,60855.0,6554.24494,6.0890989572041265,0.10820665385217111,-0.0017223602061846649,-0.01006304623168229,-0.016016796754755095,-0.019577195230091497,0.05997269664239857,0.018664289101999243,,market_model,220.0,24.0,2.8,0.8869441304347825,4.02237380627558,60855.0,6364.711079999999,7.225562265359415,0.15836000594509275
Альфа-банк,ACBR,Лизинговая компания Европлан,18.11.2025,09:45,25.12.2025,16:02,Завершена,"645,00","87,50%",Поглощение,Рыночная,Вертикальная,Внутренняя,12.2025,,11.2025,25.12.2025,18.11.2025,Транспорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,3,1.0,0.0,0.0,1.0,https://alfabank.ru/news/t/release/alfa-bank-zakril-sdelku-po-pokupke-krupneishego-nezavisimogo-avtolizingovogo-operatora-yevroplan/ ,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2025-11-18,09:45,2025-12-25,2025-11-18,,,,,3.12.9,2026-03-29T15:46:17.593686+03:00,3,Альфа-банк,альфа банк,ACBR,ACBR,Лизинговая компания Европлан,лизинговая компания европлан,2025-11-18,2025-12-25,2025-12-25,2025-11-18,09:45,16:02,645.0,87.5,Завершена,Поглощение,Рыночная,Вертикальная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАО Совкомбанк,SVCB,Группа Астра,18.11.2025,,13.11.2025,,Завершена,"43,00","5,82%",Участие,Рыночная,Круговая,Внутренняя,11.2025,,,18.11.2025,18.11.2025,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,!,0.0,1.0,1.0,0.0,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-11-18,,2025-11-18,2025-11-18,0.0,2025-11-18,2025-11-18T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T15:46:17.597131+03:00,4,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Группа Астра,группа астра,2025-11-18,2025-11-13,2025-11-18,2025-11-18,,,43.0,5.82,Завершена,Участие,Рыночная,Круговая,8.46254322241799e-06,0.00040647213291403363,0.005522390784756176,0.00595652342890241,0.021290163066916022,0.012185996254100669,0.0011863143478784536,0.004421847840168082,,,,,,,,,-0.023521418074623046,-0.03599975987618647,-0.028588404377160044,0.016308088026673533,-0.10494792141836629,-0.09090636130212792,,market_model,220.0,26.0,,0.7808456650511578,3.833333333333334,4046.0,290.00608,0.006836118342875,0.31735646986450416,0.014939065577098523,0.05581297389499583,0.059178410119638036,0.016335799439172627,-0.11982773434621297,-0.10639678839623157,,market_model,215.0,announcement_daily,2025-11-13,26.0,,0.7878175013462574,3.867559523809524,4046.0,292.59542,0.006754571395437501,0.3212575189383775,0,0.0,0.08944176920918798,0.08487083919765734,-0.023521418074623046,-0.03599975987618647,-0.028588404377160044,0.016308088026673533,-0.10494792141836629,-0.09090636130212792,,market_model,220.0,26.0,,0.7808456650511578,3.833333333333334,4046.0,290.00608,0.006836118342875,0.31735646986450416,-0.023521418074623046,-0.03599975987618647,-0.028588404377160044,0.016308088026673533,-0.10494792141836629,-0.09090636130212792,,market_model,220.0,26.0,,0.7808456650511578,3.833333333333334,4046.0,290.00608,0.006836118342875,0.31735646986450416
Т-банк (Тинькофф),T,Гостиница Турист (г. Москва),14.08.2025,,03.08.2025,16:07,Завершена,"37,50","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,8.2025,,,04.08.2025,14.08.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-08-14,,2025-08-04,2025-08-14,0.0,2025-08-14,2025-08-14T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T15:46:17.601750+03:00,5,Т-банк (Тинькофф),т банк тинькофф,T,T,Гостиница Турист (г. Москва),гостиница турист г москва,2025-08-14,2025-08-03,2025-08-04,2025-08-14,,16:07,37.5,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная,0.0016115982521894444,0.0019337311232385215,0.0015914077325427703,0.0007923495490285017,0.038286395962057025,0.01804495121906169,-0.0011100619730524904,0.017672002448754325,,,,,,,,,-0.00723962733833042,-0.018847744936405317,-0.033010493064538377,-0.02957310717715685,0.018328862459396356,0.032773906013993215,,market_model,220.0,32.5,6.2,1.725294402769763,7.339626783754116,5119.0,896.98056,5.317804624983334,0.19030972940046845,-0.00756962186134105,-0.01784927383550365,-0.06517400503059781,-0.08406234657111937,-0.026042325720559756,0.019510336969315478,0.006088546249076954,market_model,212.0,announcement_daily,2025-08-04,32.5,6.2,1.658619349874976,7.055982436882546,5119.0,862.3162000000001,5.330305767880001,0.19982407400861735,0,0.0,-0.06317397675738039,-0.10176853191732468,-0.007368142762039805,-0.017393180395151243,-0.06441094341456428,-0.08226628148011908,-0.026042325720559756,0.019510336969315478,0.00602631849549895,market_model,220.0,32.5,6.2,1.658619349874976,7.055982436882546,5119.0,862.3162000000001,5.330305767880001,0.19982407400861735,-0.00723962733833042,-0.018847744936405317,-0.033010493064538377,-0.02957310717715685,0.018328862459396356,0.032773906013993215,,market_model,220.0,32.5,6.2,1.725294402769763,7.339626783754116,5119.0,896.98056,5.317804624983334,0.19030972940046845
ПАО Совкомбанк,SVCB,Пампаду,17.07.2025,16:07,,,Переговоры,"12,80—19,20","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,,7.2025,,13.08.2025,18.07.2025,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-07-17,16:07,2025-08-13,2025-07-18,0.0,2025-07-17,2025-07-17T16:00:00+03:00,release_in_market,3.12.9,2026-03-29T15:46:17.605091+03:00,6,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Пампаду,пампаду,2025-07-17,,2025-08-13,2025-07-18,16:07,,,100.0,Переговоры,Полное приобретение,Рыночная,Вертикальная,-0.010574321718099793,-0.011619901710389721,0.000601667544873466,-0.009886591485329846,-0.03756804763517794,-0.01617801792856389,0.009536593255527817,0.005840880965634744,,,,,,,,,0.026630562011077257,0.05740202329694368,0.032689909246688076,0.03438067865751167,-0.22001616200710827,-0.192134874985881,-0.24916384120014345,market_model,220.0,26.0,,1.014553742595584,4.980654761904762,4046.0,376.80526,0.005072857889479167,0.3204985033153194,,,,,,,,,,,,,,,,,,,,-1,0.0327202332677933,0.018866945590331696,0.07833817032014592,-0.04592964939181976,-0.08780461780471821,-0.12360514393291608,-0.12806525091556653,-0.13000326866355905,-0.15017969177066615,,market_model,220.0,26.0,,0.9921226171243942,4.870535714285714,4046.0,368.47434,0.0053110670361875,0.2717593522024495,-0.006089671256716047,0.030838384558531114,0.03361491669579158,-0.0006767351026811669,-0.20515923083667653,-0.2067177278221114,-0.26560345708522815,market_model,220.0,26.0,,1.045775444264944,5.133928571428571,4046.0,388.401,0.005206833597416666,0.3231303438843001
Т-банк (Тинькофф),T,Zabota 2.0,03.09.2025,,01.07.2025,15:33,Завершена,,"11,22%","Участие, Венчурный фонд Т-Инвестиций ",Рыночная,Круговая,Внутренняя,7.2025,,,01.07.2025,03.09.2025,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-09-03,,2025-07-01,2025-09-03,0.0,2025-09-03,2025-09-03T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T15:46:17.608381+03:00,7,Т-банк (Тинькофф),т банк тинькофф,T,T,Zabota 2.0,zabota 2 0,2025-09-03,2025-07-01,2025-07-01,2025-09-03,,15:33,,11.22,Завершена,"Участие, Венчурный фонд Т-Инвестиций",Рыночная,Круговая,0.0010455163010747188,-0.0010881909673261915,-0.0017133560441963645,0.0016264045714619695,0.02710569603159272,0.012193320971801813,0.0010634046440805602,0.013625691509228655,,,,,,,,,-0.0057220295433512225,-0.00867535694098345,-0.031088377536117887,-0.05487458416818293,0.00432840347012986,0.04226174544455996,,market_model,220.0,32.5,6.2,1.712289671090595,7.28430296377607,5119.0,890.2194000000001,5.436989602291666,0.19473297542305046,-0.009871002892688571,-0.017961472547480917,-0.031654434092214606,0.007900732461752349,-0.0037018389249949823,0.0010908502607436255,0.0057713174327276295,market_model,160.0,announcement_daily,2025-07-01,32.5,6.2,1.692060088478554,7.198243688254665,5119.0,879.70204,6.481061407434167,0.25482674948289,0,0.0,-0.04829249794844184,-0.0475153116308044,-0.008606343219919495,-0.015067207247710088,-0.02705103494848896,0.016416700674501326,-0.0037018389249949823,0.0010908502607436255,0.005710319506657013,market_model,220.0,32.5,6.2,1.692060088478554,7.198243688254665,5119.0,879.70204,6.481061407434167,0.25482674948289,-0.0057220295433512225,-0.00867535694098345,-0.031088377536117887,-0.05487458416818293,0.00432840347012986,0.04226174544455996,,market_model,220.0,32.5,6.2,1.712289671090595,7.28430296377607,5119.0,890.2194000000001,5.436989602291666,0.19473297542305046
Т-банк (Тинькофф),T,Airo,30.05.2025,,30.05.2025,00:00,Завершена,,"12,50%","Участие, Венчурный фонд Т-Инвестиций ",Рыночная,Круговая,Внутренняя,5.2025,,,30.05.2025,30.05.2025,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-05-30,,2025-05-30,2025-05-30,0.0,2025-05-30,2025-05-30T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T15:46:17.611396+03:00,8,Т-банк (Тинькофф),т банк тинькофф,T,T,Airo,airo,2025-05-30,2025-05-30,2025-05-30,2025-05-30,,00:00,,12.5,Завершена,"Участие, Венчурный фонд Т-Инвестиций",Рыночная,Круговая,0.0017710839587796083,0.0007040598010655953,0.004929497407931562,0.009355960099263701,0.046417319564078435,0.022000351318826834,0.0004577445118499695,0.020515024421844334,,,,,,,,,-0.014992045936690287,-0.004750564505758111,0.03857837410590911,0.050003266255360175,0.02100586426542983,0.0029385005580779833,0.06992757618438439,market_model,220.0,32.5,6.2,1.647162800538565,7.007244785949506,5119.0,856.35994,9.347778868654167,0.3589294143078113,-0.014992045936690287,-0.004750564505758111,0.03857837410590911,0.050003266255360175,0.02100586426542983,0.0029385005580779833,0.06992757618438439,market_model,220.0,announcement_daily,2025-05-30,32.5,6.2,1.647162800538565,7.007244785949506,5119.0,856.35994,9.347778868654167,0.3589294143078113,0,0.0,0.012088993409681427,0.03066277848071693,-0.014992045936690287,-0.004750564505758111,0.03857837410590911,0.050003266255360175,0.02100586426542983,0.0029385005580779833,0.06992757618438439,market_model,220.0,32.5,6.2,1.647162800538565,7.007244785949506,5119.0,856.35994,9.347778868654167,0.3589294143078113,-0.014992045936690287,-0.004750564505758111,0.03857837410590911,0.050003266255360175,0.02100586426542983,0.0029385005580779833,0.06992757618438439,market_model,220.0,32.5,6.2,1.647162800538565,7.007244785949506,5119.0,856.35994,9.347778868654167,0.3589294143078113
ПАО Совкомбанк,SVCB,"Хоум Банк (Хоум Кредит энд Финанс Банк, ХКФБ)",16.02.2024,19:20,07.04.2025,14:22,Завершена,"523,30","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,4.2025,,2.2024,07.04.2025,19.02.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,!,0.0,1.0,1.0,1.0,https://sovcombank.ru/articles/novosti-kompanii/sovcombank-zavershil-prisoedinenie-home-banka?utm_referrer=https%3A%2F%2Fwww.google.com%2F,ready,,resolved=raw_ticker_exact; release_anchor=release_after_close_next_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2024-02-16,19:20,2025-04-07,2024-02-19,1.0,2024-02-19,2024-02-19T09:45:00+03:00,release_after_close_next_open,3.12.9,2026-03-29T15:46:17.616303+03:00,9,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,"Хоум Банк (Хоум Кредит энд Финанс Банк, ХКФБ)",хоум банк хоум кредит энд финанс банк хкфб,2024-02-16,2025-04-07,2025-04-07,2024-02-19,19:20,14:22,523.3,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная,0.06301091157066496,0.03896874669512307,-0.024351556334616737,-0.01812631693705484,0.06752317799748749,0.025034549463549362,-0.004875460705455095,-0.02211506243677981,,,,,,,,,0.0788724571204763,0.09023261216413936,0.03924216434088468,0.21102444520165875,0.06194085795646154,-0.053039849114373205,-0.02923517235942752,market_adjusted,293.0,,,1.795780490349505,-23.62162162162162,2185.0,344.25112,0.00901600084241279,0.3977705760210245,0.03233232272988848,0.03916569834970021,0.03913779573280041,0.026567870516782402,-0.01436281676413409,-0.05101666454784515,-0.18527666539537446,market_model,220.0,actualization_daily,2025-04-07,26.0,,0.9411978998384491,4.620535714285714,4046.0,349.5609,0.008477331723833333,0.39219539480741705,-3,0.006195588196987845,0.18236838282413326,0.18339234473294508,0.03233232272988848,0.03916569834970021,0.03913779573280041,0.026567870516782402,-0.01436281676413409,-0.05101666454784515,-0.18527666539537446,market_model,220.0,26.0,,0.9411978998384491,4.620535714285714,4046.0,349.5609,0.008477331723833333,0.39219539480741705,0.07267686892348846,0.055231557250220886,0.07359205243738898,0.2197523099509714,-0.05243620637734647,-0.11507057203736337,-0.11351725918063216,market_adjusted,294.0,,,1.936525299947835,-25.47297297297298,2185.0,371.2319,0.009100823351448862,0.39376017453633994
Т-банк (Тинькофф),T,Бизнес-центр Центральный телеграф,24.05.2024,13:59,05.02.2025,15:26,Завершена,"355,00—426,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,2.2025,,,05.02.2025,18.03.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2024-05-24,13:59,2025-02-05,2025-03-18,0.0,2024-05-24,2024-05-24T13:45:00+03:00,release_in_market,3.12.9,2026-03-29T15:46:17.622343+03:00,10,Т-банк (Тинькофф),т банк тинькофф,T,T,Бизнес-центр Центральный телеграф,бизнес центр центральный телеграф,2024-05-24,2025-02-05,2025-02-05,2025-03-18,13:59,15:26,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная,-0.0007219133781243718,-0.001512614493579066,-0.0010389890360676707,-0.0051630466868892,-0.05890006290703824,-0.01257812614361063,-0.008380605913855787,-0.034372897247335166,,,,,,,,,-0.022036859451944314,-0.010150384484909694,-0.040750616954702626,-0.008212386248075996,0.07831768959610852,0.07660841788779604,0.24011541554444316,market_model,220.0,33.5,6.2,2.042561747094048,7.168268046316827,2270.0,579.88328,5.787458001114168,0.2444276666805938,0.00587245083048186,0.02360567403927532,0.013028432368886612,-0.005985092519292542,0.0673728230672882,,,market_model,221.0,announcement_daily,2025-02-05,33.5,6.2,2.162043466009158,7.587583148558759,2270.0,613.80414,19.769073530040007,0.4358842284510209,-298,-0.04960495540682916,-0.03694796275873973,-0.05597805772062762,0.005346139994374772,0.022315243704188237,0.011183847011105575,-0.009623891586846789,0.0673728230672882,0.10365297411017116,0.09848000036387239,market_model,220.0,33.5,6.2,2.162043466009158,7.587583148558759,2270.0,613.80414,19.769073530040007,0.4358842284510209,0.02756809595488485,0.038727991579335375,0.04631073044874694,0.04485897248624007,1.4828971245606226e-05,0.044436842984464375,0.03928145842797204,market_model,220.0,33.5,6.2,2.502517224374781,8.782458733678247,2270.0,710.4646400000001,15.328271471591666,0.32054073031065466
Альфа-банк,ACBR,Таврос,19.06.2025,16:05,,,Завершена,,"80,00%",Консолидация,Рыночная,Круговая,Внутренняя,1.2025,,10.2024,09.01.2025,09.06.2025,Пищевая промышленность,Россия (ПФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2025-06-19,16:05,2025-01-09,2025-06-09,,,,,3.12.9,2026-03-29T15:46:17.626462+03:00,11,Альфа-банк,альфа банк,ACBR,ACBR,Таврос,таврос,2025-06-19,,2025-01-09,2025-06-09,16:05,,,80.0,Завершена,Консолидация,Рыночная,Круговая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
