source_row_excel,Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Дата создания,DAYS_CREATE_TO_ANNOUNCEMENT,CAR_ANN_1_1,CAR_CREATE_1_1,CAR_ANN_3_3,CAR_CREATE_3_3,CAR_ANN_5_5,CAR_CREATE_5_5,CAR_ANN_10_10,CAR_CREATE_10_10,BHAR_ANN_60,BHAR_CREATE_60,BHAR_ANN_120,BHAR_CREATE_120,BHAR_ANN_250,BHAR_CREATE_250,RUNUP_PRE_30_5,CAR_PRE_ANNOUNCEMENT,DIFF_CREATE_MINUS_ANN_1_1,DIFF_CREATE_MINUS_ANN_3_3,DIFF_CREATE_MINUS_ANN_5_5,DIFF_CREATE_MINUS_ANN_10_10,DIFF_BHAR_CREATE_MINUS_ANN_120
2,Сбер (Сбербанк),SBER,Группа компаний Элемент,19.09.2025,19.09.2025,0,-0.0017109471434107,-0.0017109471434107,-0.009906493074176,-0.009906493074176,-0.0157211891910478,-0.0157211891910478,-0.0191463628305016,-0.0191463628305016,,,,,,,-0.0261015901858683,-0.0175690994735543,0.0,0.0,0.0,0.0,
3,Альфа-банк,ACBR,Лизинговая компания Европлан,18.11.2025,18.11.2025,0,,,,,,,,,,,,,,,,,,,,,
4,ПАО Совкомбанк,SVCB,Группа Астра,18.11.2025,18.11.2025,0,-0.0233922186573194,-0.0233922186573194,-0.0356852787991119,-0.0356852787991119,-0.0280812135826365,-0.0280812135826365,0.0172982794017794,0.0172982794017794,,,,,,,0.0906872901736578,0.0863140460066935,0.0,0.0,0.0,0.0,
5,Т-банк (Тинькофф),T,Гостиница Турист (г. Москва),14.08.2025,14.08.2025,0,-0.00735819172001,-0.00735819172001,-0.0191595581520907,-0.0191595581520907,-0.0334415742640011,-0.0334415742640011,-0.0304188835725068,-0.0304188835725068,,,,,,,-0.0642415032336645,-0.1029832888432262,0.0,0.0,0.0,0.0,
6,ПАО Совкомбанк,SVCB,Пампаду,17.07.2025,18.07.2025,-1,0.0268378546514224,-0.0060453501111793,0.0580559387873999,0.0309425792932238,0.0335282911175353,0.0337759358369796,0.0352577351730953,-0.00035138617429,,,,,,,0.0198014373367231,0.0796932201738596,-0.0328832047626017,-0.027113359494176096,0.00024764471944429406,-0.0356091213473853,
7,Т-банк (Тинькофф),T,Zabota 2.0,03.09.2025,03.09.2025,0,-0.0057054995022328,-0.0057054995022328,-0.0086363312146734,-0.0086363312146734,-0.0310260091449697,-0.0310260091449697,-0.0547599204248638,-0.0547599204248638,,,,,,,-0.0481421909835967,-0.047343674609171,0.0,0.0,0.0,0.0,
8,Т-банк (Тинькофф),T,Airo,30.05.2025,30.05.2025,0,-0.0149888262709152,-0.0149888262709152,-0.0047445808074179,-0.0047445808074179,0.0385897109556267,0.0385897109556267,0.0500278194622016,0.0500278194622016,,,,,,,0.012121043267931,0.0306989462234671,0.0,0.0,0.0,0.0,
9,ПАО Совкомбанк,SVCB,"Хоум Банк (Хоум Кредит энд Финанс Банк, ХКФБ)",16.02.2024,19.02.2024,-3,0.0726768689234884,0.0726768689234884,0.0552315572502208,0.0552315572502208,0.0735920524373889,0.0735920524373889,0.2197523099509714,0.2197523099509714,,,,,,,0.1692284405701283,0.185475267845608,0.0,0.0,0.0,0.0,
10,Т-банк (Тинькофф),T,Бизнес-центр Центральный телеграф,24.05.2024,18.03.2025,-298,-0.0221786794091031,0.0275742195551347,-0.0104531381861183,0.0387405355333873,-0.0412434562133058,0.0463303537616559,-0.0090971217417432,0.0448903134067721,,,,,,,-0.0379988006070108,-0.0572019759987345,0.0497528989642378,0.0491936737195056,0.0875738099749617,0.053987435148515305,
11,Альфа-банк,ACBR,Таврос,19.06.2025,09.06.2025,10,,,,,,,,,,,,,,,,,,,,,
12,Промсвязьбанк (ПСБ),PSBR,М.Видео (М.Видео-Эльдорадо),27.01.2025,30.04.2022,1003,,,,,,,,,,,,,,,,,,,,,
13,Альфа-банк,ACBR,КАРО ФИЛЬМ Севастопольский,28.12.2024,28.12.2024,0,,,,,,,,,,,,,,,,,,,,,
14,Альфа-банк,ACBR,Кинотеатр Россия (Москва),28.12.2024,28.12.2024,0,,,,,,,,,,,,,,,,,,,,,
15,Т-банк (Тинькофф),T,AnyQuery,24.11.2022,24.11.2022,0,-0.039707005915438,-0.039707005915438,-0.0476278347733597,-0.0476278347733597,-0.0183877734504394,-0.0183877734504394,0.0015167836865462,0.0015167836865462,,,,,,,0.1096160199391082,0.0888027874028943,0.0,0.0,0.0,0.0,
16,Яндекс,YDEX,NewPay,24.12.2024,24.12.2024,0,-0.0223501795762973,-0.0223501795762973,0.0110479664361661,0.0110479664361661,-0.0055720256108899,-0.0055720256108899,-0.0300113082576603,-0.0300113082576603,,,,,,,-0.0822583223868953,-0.0684009408803529,0.0,0.0,0.0,0.0,
