source_row_excel,table_role,mapping_status,panel_key_count
2,intraday,certain,1
4,intraday,certain,1
5,intraday,certain,1
6,intraday,certain,1
7,intraday,certain,1
8,intraday,certain,1
9,intraday,certain,1
10,intraday,certain,1
15,intraday,certain,1
16,intraday,certain,1
17,intraday,certain,1
18,intraday,certain,1
19,intraday,certain,1
20,intraday,certain,1
23,intraday,certain,1
24,intraday,certain,1
25,intraday,certain,1
26,intraday,certain,1
27,intraday,certain,1
28,intraday,certain,1
30,intraday,certain,1
33,intraday,certain,1
34,intraday,certain,1
35,intraday,certain,1
36,intraday,certain,1
39,intraday,certain,1
42,intraday,certain,1
43,intraday,certain,1
45,intraday,certain,1
48,intraday,certain,1
49,intraday,certain,1
50,intraday,certain,1
51,intraday,certain,1
53,intraday,certain,1
54,intraday,certain,1
57,intraday,certain,1
58,intraday,certain,1
59,intraday,certain,1
60,intraday,certain,1
61,intraday,certain,1
64,intraday,certain,1
65,intraday,certain,1
67,intraday,certain,1
68,intraday,certain,1
71,intraday,certain,1
72,intraday,certain,1
74,intraday,certain,1
75,intraday,certain,1
77,intraday,certain,1
78,intraday,certain,1
79,intraday,certain,1
80,intraday,certain,1
81,intraday,certain,1
82,intraday,certain,1
83,intraday,certain,1
84,intraday,certain,1
91,intraday,certain,1
92,intraday,certain,1
93,intraday,certain,1
95,intraday,certain,1
96,intraday,certain,1
97,intraday,certain,1
99,intraday,certain,1
2,announcement_daily,certain,1
4,announcement_daily,certain,1
5,announcement_daily,certain,1
6,announcement_daily,certain,1
7,announcement_daily,certain,1
8,announcement_daily,certain,1
9,announcement_daily,certain,1
10,announcement_daily,certain,1
15,announcement_daily,certain,1
16,announcement_daily,certain,1
17,announcement_daily,certain,1
18,announcement_daily,certain,1
19,announcement_daily,certain,1
20,announcement_daily,certain,1
23,announcement_daily,certain,1
24,announcement_daily,certain,1
25,announcement_daily,certain,1
26,announcement_daily,certain,1
27,announcement_daily,certain,1
28,announcement_daily,certain,1
30,announcement_daily,certain,1
33,announcement_daily,certain,1
34,announcement_daily,certain,1
35,announcement_daily,certain,1
36,announcement_daily,certain,1
39,announcement_daily,certain,1
42,announcement_daily,certain,1
43,announcement_daily,certain,1
45,announcement_daily,certain,1
48,announcement_daily,certain,1
49,announcement_daily,certain,1
50,announcement_daily,certain,1
51,announcement_daily,certain,1
53,announcement_daily,certain,1
54,announcement_daily,certain,1
57,announcement_daily,certain,1
58,announcement_daily,certain,1
59,announcement_daily,certain,1
60,announcement_daily,certain,1
61,announcement_daily,certain,1
64,announcement_daily,certain,1
65,announcement_daily,certain,1
67,announcement_daily,certain,1
68,announcement_daily,certain,1
71,announcement_daily,certain,1
72,announcement_daily,certain,1
74,announcement_daily,certain,1
75,announcement_daily,certain,1
77,announcement_daily,certain,1
78,announcement_daily,certain,1
79,announcement_daily,certain,1
80,announcement_daily,certain,1
81,announcement_daily,certain,1
82,announcement_daily,certain,1
83,announcement_daily,certain,1
84,announcement_daily,certain,1
91,announcement_daily,certain,1
92,announcement_daily,certain,1
93,announcement_daily,certain,1
95,announcement_daily,certain,1
96,announcement_daily,certain,1
97,announcement_daily,certain,1
99,announcement_daily,certain,1
100,announcement_daily,certain,1
109,announcement_daily,certain,1
111,announcement_daily,certain,1
112,announcement_daily,certain,1
115,announcement_daily,certain,1
116,announcement_daily,certain,1
117,announcement_daily,certain,1
118,announcement_daily,certain,1
119,announcement_daily,certain,1
120,announcement_daily,certain,1
121,announcement_daily,certain,1
123,announcement_daily,certain,1
130,announcement_daily,certain,1
138,announcement_daily,certain,1
142,announcement_daily,certain,1
143,announcement_daily,certain,1
145,announcement_daily,certain,1
146,announcement_daily,certain,1
147,announcement_daily,certain,1
149,announcement_daily,certain,1
150,announcement_daily,certain,1
151,announcement_daily,certain,1
153,announcement_daily,certain,1
154,announcement_daily,certain,1
155,announcement_daily,certain,1
156,announcement_daily,certain,1
157,announcement_daily,certain,1
158,announcement_daily,certain,1
160,announcement_daily,certain,1
161,announcement_daily,certain,1
162,announcement_daily,certain,1
163,announcement_daily,certain,1
167,announcement_daily,certain,1
169,announcement_daily,certain,1
170,announcement_daily,certain,1
171,announcement_daily,certain,1
172,announcement_daily,certain,1
174,announcement_daily,certain,1
175,announcement_daily,certain,1
176,announcement_daily,certain,1
177,announcement_daily,certain,1
178,announcement_daily,certain,1
181,announcement_daily,certain,1
182,announcement_daily,certain,1
183,announcement_daily,certain,1
184,announcement_daily,certain,1
185,announcement_daily,certain,1
186,announcement_daily,certain,1
187,announcement_daily,certain,1
188,announcement_daily,certain,1
189,announcement_daily,certain,1
191,announcement_daily,certain,1
