category,message,table_role,source_row_excel
completion_intraday_unavailable,Completion intraday metrics left missing because no dedicated completion intraday panel was uploaded,intraday,2.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,2.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,4.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,4.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,5.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,6.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,7.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,9.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,28.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,30.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,34.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,35.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,36.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,36.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,39.0
insufficient_bhar_data,T=60: too_few_valid_returns,daily_bhar,39.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,42.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,42.0
insufficient_bhar_data,T=120: too_few_valid_returns,daily_bhar,42.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,42.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,43.0
insufficient_bhar_data,T=60: too_few_valid_returns,daily_bhar,43.0
insufficient_bhar_data,T=120: too_few_valid_returns,daily_bhar,43.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,45.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,45.0
insufficient_bhar_data,T=120: too_few_valid_returns,daily_bhar,45.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,45.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,48.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,48.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,48.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,48.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,49.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,49.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,49.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,49.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,50.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,50.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,50.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,50.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,51.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,51.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,51.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,51.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,53.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,53.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,53.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,53.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,54.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,54.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,54.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,54.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,57.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,57.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,57.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,57.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,58.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,58.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,58.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,58.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,59.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,59.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,59.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,59.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,60.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,60.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,60.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,60.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,61.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,61.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,61.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,61.0
model_fallback,Using market_adjusted (OLS market model not estimated: insufficient obs or zero benchmark variance),,64.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,64.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,64.0
insufficient_bhar_data,T=250: too_few_valid_returns,daily_bhar,64.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,65.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,65.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,65.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,65.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,67.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,67.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,67.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,67.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,68.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,68.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,68.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,68.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,71.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,71.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,71.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,71.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,72.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,72.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,72.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,72.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,74.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,74.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,74.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,74.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,75.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,75.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,75.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,75.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,77.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,77.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,77.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,77.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,78.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,78.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,78.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,78.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,79.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,79.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,79.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,79.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,80.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,80.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,80.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,80.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,81.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,81.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,81.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,81.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,82.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,82.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,82.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,82.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,83.0
